epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.44663,0.82284,0.90625,1,1.01679,0.000236707,0.000236707,0.000236707
2,8.46626,0.38183,0.90217,1,1.02327,0.000451209,0.000451209,0.000451209
3,12.444,0.35473,0.88723,1,1.03412,0.000642149,0.000642149,0.000642149
4,16.2829,0.35935,0.88451,1,1.03182,0.000607971,0.000607971,0.000607971
5,20.1867,0.30622,0.91848,1,1.00645,0.000572628,0.000572628,0.000572628
6,24.3437,0.28645,0.91304,1,1.00654,0.000537285,0.000537285,0.000537285
7,28.1651,0.26965,0.91304,1,0.99945,0.000501942,0.000501942,0.000501942
8,31.9954,0.23469,0.92663,1,0.99157,0.000466599,0.000466599,0.000466599
9,36.0239,0.19471,0.91984,1,0.99223,0.000431256,0.000431256,0.000431256
10,39.8417,0.19033,0.92935,1,0.98074,0.000395913,0.000395913,0.000395913
11,44.2965,0.15959,0.92799,1,0.98316,0.00036057,0.00036057,0.00036057
12,48.1607,0.13606,0.93478,1,0.97699,0.000325227,0.000325227,0.000325227
13,52.1676,0.12728,0.93342,1,0.97869,0.000289884,0.000289884,0.000289884
14,56.0478,0.11737,0.93342,1,0.97593,0.000254541,0.000254541,0.000254541
15,59.8088,0.10005,0.94293,1,0.96822,0.000219198,0.000219198,0.000219198
16,63.9252,0.09987,0.94565,1,0.96633,0.000183855,0.000183855,0.000183855
17,68.1981,0.07008,0.96196,1,0.95718,0.000148512,0.000148512,0.000148512
18,72.2948,0.07848,0.95109,1,0.96062,0.000113169,0.000113169,0.000113169
19,76.0775,0.07095,0.94973,1,0.96128,7.7826e-05,7.7826e-05,7.7826e-05
20,79.872,0.08004,0.95245,1,0.95837,4.2483e-05,4.2483e-05,4.2483e-05
