epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.57578,0.88582,0.90082,1,1.04361,0.000236707,0.000236707,0.000236707
2,8.40939,0.40911,0.90217,1,1.01779,0.000465307,0.000465307,0.000465307
3,12.0846,0.33293,0.92255,1,1.00943,0.000684483,0.000684483,0.000684483
4,15.7187,0.34452,0.8981,1,1.01499,0.000671588,0.000671588,0.000671588
5,19.2204,0.32464,0.91984,1,1.00138,0.000657451,0.000657451,0.000657451
6,22.7849,0.28292,0.9212,1,0.99611,0.000643314,0.000643314,0.000643314
7,26.2608,0.26325,0.92935,1,0.98626,0.000629177,0.000629177,0.000629177
8,29.7929,0.25725,0.93614,1,0.98297,0.00061504,0.00061504,0.00061504
9,33.4162,0.22452,0.92527,1,0.98497,0.000600902,0.000600902,0.000600902
10,36.9611,0.20091,0.9375,1,0.97648,0.000586765,0.000586765,0.000586765
11,40.574,0.1806,0.93886,1,0.97777,0.000572628,0.000572628,0.000572628
12,44.1831,0.17105,0.93614,1,0.97215,0.000558491,0.000558491,0.000558491
13,47.7502,0.18918,0.94429,1,0.97287,0.000544354,0.000544354,0.000544354
14,51.3912,0.17217,0.93614,1,0.97754,0.000530216,0.000530216,0.000530216
15,54.914,0.17332,0.92799,1,0.98333,0.000516079,0.000516079,0.000516079
16,58.5423,0.1249,0.92799,1,0.97964,0.000501942,0.000501942,0.000501942
17,62.0615,0.12281,0.92663,1,0.98236,0.000487805,0.000487805,0.000487805
18,65.5257,0.12918,0.93614,1,0.97374,0.000473668,0.000473668,0.000473668
19,69.0488,0.11922,0.93614,1,0.97096,0.00045953,0.00045953,0.00045953
20,72.6981,0.13029,0.94837,1,0.9638,0.000445393,0.000445393,0.000445393
21,76.2544,0.10743,0.94158,1,0.96652,0.000431256,0.000431256,0.000431256
22,79.802,0.1189,0.94429,1,0.96508,0.000417119,0.000417119,0.000417119
23,83.2668,0.09952,0.94973,1,0.96472,0.000402982,0.000402982,0.000402982
24,86.8998,0.10812,0.94158,1,0.96896,0.000388844,0.000388844,0.000388844
25,90.348,0.0919,0.94837,1,0.95943,0.000374707,0.000374707,0.000374707
26,93.9112,0.10355,0.95109,1,0.96015,0.00036057,0.00036057,0.00036057
27,97.4829,0.08981,0.94973,1,0.96053,0.000346433,0.000346433,0.000346433
28,100.969,0.08783,0.94837,1,0.96427,0.000332296,0.000332296,0.000332296
29,104.524,0.07789,0.94565,1,0.96257,0.000318158,0.000318158,0.000318158
30,108.058,0.06513,0.94565,1,0.96281,0.000304021,0.000304021,0.000304021
31,111.619,0.0804,0.95109,1,0.95737,0.000289884,0.000289884,0.000289884
32,115.242,0.05939,0.94973,1,0.95718,0.000275747,0.000275747,0.000275747
33,118.791,0.06717,0.9538,1,0.95646,0.00026161,0.00026161,0.00026161
34,122.313,0.05263,0.94837,1,0.96077,0.000247472,0.000247472,0.000247472
35,125.858,0.05214,0.94158,1,0.96238,0.000233335,0.000233335,0.000233335
36,129.39,0.04826,0.95652,1,0.95217,0.000219198,0.000219198,0.000219198
37,132.997,0.04742,0.94973,1,0.95924,0.000205061,0.000205061,0.000205061
38,136.506,0.04929,0.94973,1,0.95695,0.000190924,0.000190924,0.000190924
39,140.026,0.0425,0.9375,1,0.96389,0.000176786,0.000176786,0.000176786
40,143.538,0.04475,0.95652,1,0.95631,0.000162649,0.000162649,0.000162649
41,147.37,0.04921,0.94429,1,0.96024,0.000148512,0.000148512,0.000148512
42,150.826,0.0405,0.94565,1,0.96039,0.000134375,0.000134375,0.000134375
43,154.425,0.0372,0.94701,1,0.95956,0.000120238,0.000120238,0.000120238
44,157.987,0.0368,0.95109,1,0.95591,0.0001061,0.0001061,0.0001061
45,161.623,0.03767,0.9538,1,0.95646,9.19632e-05,9.19632e-05,9.19632e-05
46,165.165,0.032,0.94429,1,0.95782,7.7826e-05,7.7826e-05,7.7826e-05
47,168.888,0.03893,0.9538,1,0.95317,6.36888e-05,6.36888e-05,6.36888e-05
48,172.495,0.03607,0.95516,1,0.95459,4.95516e-05,4.95516e-05,4.95516e-05
49,176.146,0.03085,0.9538,1,0.95346,3.54144e-05,3.54144e-05,3.54144e-05
50,179.897,0.03265,0.9538,1,0.95444,2.12772e-05,2.12772e-05,2.12772e-05
